sigla_comite;bacia_hidrografica;email_limpo;n_ugrhi
sm;Serra da Mantiqueira;comitesm@terra.com.br;1
ps;Paraíba do Sul;cbh-ps@comiteps.sp.gov.br;2
ln;Litoral Norte;cbhlnorte@gmail.com;3
pardo;Pardo;comitepardo@yahoo.com.br;4
pcj;Piracicaba / Capivari / Jundiaí;se.pcj@comites.baciaspcj.org.br;5
at;Alto Tietê;comiteat@sp.gov.br;6
bs;Baixada Santista;cbhbs@uol.com.br;7
bs;Baixada Santista;cbhbs@cbhbs.com.br;7
smg;Sapucaí-Mirim / Grande;comitesmg@netsite.com.br;8
smg;Sapucaí-Mirim / Grande;secretaria@cbhsmg.com;8
mogi;Mogi-Guaçu;comitemogi@gmail.com;9
smt;Sorocaba e Médio Tietê;colegiado.cbhsmt@gmail.com;10
rb;Ribeira do Iguape e Litoral Sul;comiterb@gmail.com;11
bpg;Baixo Pardo / Grande;cbh.bpg@gmail.com;12
tj;Tietê-Jacaré;comitetj@yahoo.com.br;13
alpa;Alto Paranapanema;cbhalpa@gmail.com;14
tg;Turvo / Grande;comitetg@gmail.com;15
tb;Tietê-Batalha;comitetietebatalha@gmail.com;16
mp;Médio Paranapanema;secretaria@cbhmp.org;17
sjd;São José dos Dourados;comitesjd@gmail.com;18
bt;Baixo Tietê;cbh-bt@uol.com.br;19
ap;Aquapeí e Peixe;secretaria@cbhap.org;20
pp;Pontal do Paranapanema;contato.cbhpp@gmail.com;22
